Jurisdictions,EffectiveDate,ValidThroughDate,pmp2012,access_Prescribers,access_Dispensers,access_RegulatoryBoards,access_MedicalExaminer/Coroner,access_DrugCourts,access_None,prescriber-access_Currentpatients,prescriber-access_Prospectivepatients,prescriber-access_Formerpatients,prescriber-access_None,dispenser-access_Currentpatients,dispenser-access_Prospectivepatients,dispenser-access_Formerpatients,dispenser-access_None,delegate,patient-access,instate-yn,instate-le_TherearenorestrictionsonlawenforcementaccesstoPDMPdata,instate-le_Lawenforcementhasaccessforactiveinvestigations,instate-le_Lawenforcementmustbegrantedaccessbysubpoena,instate-le_Lawenforcementmustbegrantedaccessbyissuanceofwarrant/judicialfindingofprobablecause,pdmp-outstate,outstate-le_NorestrictionsonlawenforcementaccesstoPDMPdata,outstate-le_Lawenforcementhasaccessforactiveinvestigations,outstate-le_Lawenforcementmustbegrantedaccessbysubpoena,outstate-le_Lawenforcementmustbegrantedaccessbyissuanceofwarrant/judicialfindingofprobablecause,table_type,Jurisdictions:1,EffectiveDate:1,ValidThroughDate:1,pmp2012:1,agency_Lawenforcement,agency_DepartmentofHealth/HHS,agency_Consumerprotectionagency,agency_Professionallicensingauthority(e.g.PharmacyorMedicalBoard),agency_AttorneyGeneral,agency_Other,pmp-funding_Appropriationprovisions,pmp-funding_Chargingfees,pmp-funding_Grants,pmp-funding_Gifts,pmp-funding_Nofundingprovisionsincludedinthelaw,oversight,evaluation,purge-time,proactive-permit,proactive-actionrequire_Mustreporttolawenforcement,proactive-actionrequire_Mustreporttoprofessionallicensingbody,proactive-actionrequire_Mustreporttoprescriberordispenser,proactive-actionrequire_Permittedtoreporttolawenforcement,proactive-actionrequire_Permittedtoreporttoprofessionallicensingbody,proactive-actionrequire_Permittedtoreporttoprescriberordispenser,proactive-actionrequire_Other,foia,research,pdmp-research,table_type:1,Jurisdictions:2,EffectiveDate:2,ValidThroughDate:2,pmp2012:2,agency_Lawenforcement:1,agency_DepartmentofHealth/HHS:1,agency_Consumerprotectionagency:1,agency_Professionallicensingauthority(e.g.PharmacyorMedicalBoard):1,agency_AttorneyGeneral:1,agency_Other:1,pmp-funding_Appropriationprovisions:1,pmp-funding_Chargingfees:1,pmp-funding_Grants:1,pmp-funding_Gifts:1,pmp-funding_Nofundingprovisionsincludedinthelaw:1,oversight:1,evaluation:1,purge-time:1,proactive-permit:1,proactive-actionrequire_Mustreporttolawenforcement:1,proactive-actionrequire_Mustreporttoprofessionallicensingbody:1,proactive-actionrequire_Mustreporttoprescriberordispenser:1,proactive-actionrequire_Permittedtoreporttolawenforcement:1,proactive-actionrequire_Permittedtoreporttoprofessionallicensingbody:1,proactive-actionrequire_Permittedtoreporttoprescriberordispenser:1,proactive-actionrequire_Other:1,foia:1,research:1,pdmp-research:1,table_type:2
"Georgia","2011-07-01","2012-03-26","1","1","0","0","1","0","0","0","0","1","1","0","1","1","3","0",".",".",".",".",".",".",".","1","1","1","admin","Georgia","2011-07-01","2012-03-26","1","1","0","0","1","0","0","0","0","1","1","0","1","1","3","0",".",".",".",".",".",".",".","1","1","1","admin","Georgia","2011-07-01","2012-03-26","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","access"
"Georgia","2011-07-01","2012-03-26","1","1","0","0","1","0","0","0","0","1","1","0","1","1","3","0",".",".",".",".",".",".",".","1","1","1","admin","Georgia","2011-07-01","2012-03-26","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","access","Georgia","2011-07-01","2012-03-26","1","1","0","0","1","0","0","0","0","1","1","0","1","1","3","0",".",".",".",".",".",".",".","1","1","1","admin"
"Hawaii","2013-04-18","2013-04-22","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","1","admin","Hawaii","2013-04-18","2013-04-22","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","1","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii","2010-05-19","2011-06-30","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0",".","admin","Hawaii","2010-05-19","2011-06-30","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0",".","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii","1998-01-01","1999-06-22","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0",".","admin","Hawaii","1998-01-01","1999-06-22","1","0","0","0","0","0","1",".",".",".",".",".",".",".",".","0","0","1","0","1","0","0","1","0","1","0","0","access","Hawaii","1998-01-01","1999-06-22","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0",".","admin"
"Hawaii","1998-01-01","1999-06-22","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0",".","admin","Hawaii","1998-01-01","1999-06-22","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0",".","admin","Hawaii","1998-01-01","1999-06-22","1","0","0","0","0","0","1",".",".",".",".",".",".",".",".","0","0","1","0","1","0","0","1","0","1","0","0","access"
"Idaho","2000-04-04","2000-06-30","1","0","0","0","1","0","0","0","0","1","1","0","0","0","4","1","0","0","0","1","1","1","0","1","1","1","admin","Idaho","2000-04-04","2000-06-30","1","0","0","0","1","0","0","0","0","1","1","0","0","0","4","1","0","0","0","1","1","1","0","1","1","1","admin","Idaho","2000-04-04","2000-06-30","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0",".",".",".",".","0",".",".",".",".","access"
"Idaho","2000-04-04","2000-06-30","1","0","0","0","1","0","0","0","0","1","1","0","0","0","4","1","0","0","0","1","1","1","0","1","1","1","admin","Idaho","2000-04-04","2000-06-30","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0",".",".",".",".","0",".",".",".",".","access","Idaho","2000-04-04","2000-06-30","1","0","0","0","1","0","0","0","0","1","1","0","0","0","4","1","0","0","0","1","1","1","0","1","1","1","admin"
"Idaho","2012-03-21","2012-05-31","1","0","0","0","1","0","0","0","0","1","1","0","0","0","4","1","1","1","1","0","0","0","0","1","1","1","admin","Idaho","2012-03-21","2012-05-31","1","0","0","0","1","0","0","0","0","1","1","0","0","0","4","1","1","1","1","0","0","0","0","1","1","1","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illinois","2000-04-01","2000-06-01","1","0","1","0","0","0","0","0","1","0","0","0","1","0","4","0",".",".",".",".",".",".",".","1","0",".","admin","Illinois","2000-04-01","2000-06-01","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0",".",".",".",".","access","Illinois","2000-04-01","2000-06-01","1","0","1","0","0","0","0","0","1","0","0","0","1","0","4","0",".",".",".",".",".",".",".","1","0",".","admin"
"Illinois","2000-04-01","2000-06-01","1","0","1","0","0","0","0","0","1","0","0","0","1","0","4","0",".",".",".",".",".",".",".","1","0",".","admin","Illinois","2000-04-01","2000-06-01","1","0","1","0","0","0","0","0","1","0","0","0","1","0","4","0",".",".",".",".",".",".",".","1","0",".","admin","Illinois","2000-04-01","2000-06-01","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0",".",".",".",".","access"
"Illinois","2012-01-01","2012-07-12","1","0","1","0","0","0","0","0","1","0","0","0","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin","Illinois","2012-01-01","2012-07-12","1","0","1","0","0","0","0","0","1","0","0","0","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin","Illinois","2012-01-01","2012-07-12","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0",".",".",".",".","access"
"Illinois","2012-01-01","2012-07-12","1","0","1","0","0","0","0","0","1","0","0","0","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin","Illinois","2012-01-01","2012-07-12","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0",".",".",".",".","access","Illinois","2012-01-01","2012-07-12","1","0","1","0","0","0","0","0","1","0","0","0","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin"
"Illinois","2015-09-09","2016-02-28","1","0","1","0","0","0","0","0","1","1","0","0","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin","Illinois","2015-09-09","2016-02-28","1","0","1","0","0","0","0","0","1","1","0","0","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin","Illinois","2015-09-09","2016-02-28","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","0","0","0",".",".",".",".","access"
"Illinois","2015-09-09","2016-02-28","1","0","1","0","0","0","0","0","1","1","0","0","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin","Illinois","2015-09-09","2016-02-28","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","0","0","0",".",".",".",".","access","Illinois","2015-09-09","2016-02-28","1","0","1","0","0","0","0","0","1","1","0","0","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin"
"Indiana","2006-03-24","2006-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","0",".",".",".",".",".",".",".","1","1","1","admin","Indiana","2006-03-24","2006-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","0",".",".",".",".",".",".",".","1","1","1","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiana","1998-01-01","1999-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","0","0","0","0","0","0","0","0","1","1","1","admin","Indiana","1998-01-01","1999-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","0","0","0","0","0","0","0","0","1","1","1","admin","Indiana","1998-01-01","1999-06-30","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","0","1","0","0","access"
"Indiana","1998-01-01","1999-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","0","0","0","0","0","0","0","0","1","1","1","admin","Indiana","1998-01-01","1999-06-30","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","0","1","0","0","access","Indiana","1998-01-01","1999-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","0","0","0","0","0","0","0","0","1","1","1","admin"
"Indiana","2007-07-01","2008-03-12","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","1","1","1","0","0","0","0","0","1","1","1","admin","Indiana","2007-07-01","2008-03-12","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","1","1","1","0","0","0","0","0","1","1","1","admin","Indiana","2007-07-01","2008-03-12","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","access"
"Indiana","2007-07-01","2008-03-12","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","1","1","1","0","0","0","0","0","1","1","1","admin","Indiana","2007-07-01","2008-03-12","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","access","Indiana","2007-07-01","2008-03-12","1","0","0","0","1","0","0","0","1","1","0","0","1","0","4","1","1","1","0","0","0","0","0","1","1","1","admin"
"Indiana","2014-07-01","2015-05-03","1","0","0","0","1","0","0","0","1","1","0","0","1","1","4","1","1","1","0","0","0","0","0","1","1","1","admin","Indiana","2014-07-01","2015-05-03","1","0","0","0","1","0","0","0","1","1","0","0","1","1","4","1","1","1","0","0","0","0","0","1","1","1","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa","2014-07-01","2016-06-30","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0",".",".",".",".",".",".",".","1","1","1","admin","Iowa","2014-07-01","2016-06-30","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0",".",".",".",".",".",".",".","1","1","1","admin","Iowa","2014-07-01","2016-06-30","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","access"
"Iowa","2014-07-01","2016-06-30","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0",".",".",".",".",".",".",".","1","1","1","admin","Iowa","2014-07-01","2016-06-30","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","access","Iowa","2014-07-01","2016-06-30","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0",".",".",".",".",".",".",".","1","1","1","admin"
"Iowa","2009-08-05","2011-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","1","1","0",".",".",".",".",".",".",".","1","1","1","admin","Iowa","2009-08-05","2011-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","1","1","0",".",".",".",".",".",".",".","1","1","1","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa","2006-05-31","2007-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0",".","admin","Iowa","2006-05-31","2007-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0",".","admin","Iowa","2006-05-31","2007-06-30","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","1","1","1","0","0","1","1","access"
"Iowa","2006-05-31","2007-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0",".","admin","Iowa","2006-05-31","2007-06-30","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","1","1","1","0","0","1","1","access","Iowa","2006-05-31","2007-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0",".","admin"
"Iowa","2011-07-01","2012-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","1","admin","Iowa","2011-07-01","2012-06-30","1","0","0","0","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","1","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kansas","2008-07-01","2009-06-30","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","admin","Kansas","2008-07-01","2009-06-30","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","admin","Kansas","2008-07-01","2009-06-30","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","access"
"Kansas","2008-07-01","2009-06-30","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","admin","Kansas","2008-07-01","2009-06-30","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","access","Kansas","2008-07-01","2009-06-30","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","admin"
"Kansas","2012-05-17","2013-12-31","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","1","0","0","0","1","1","1","0","1","1","1","admin","Kansas","2012-05-17","2013-12-31","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","1","0","0","0","1","1","1","0","1","1","1","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kentucky","1998-07-15","1998-12-15","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","1","0",".","admin","Kentucky","1998-07-15","1998-12-15","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","1","0",".","admin","Kentucky","1998-07-15","1998-12-15","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","access"
"Kentucky","1998-07-15","1998-12-15","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","1","0",".","admin","Kentucky","1998-07-15","1998-12-15","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","access","Kentucky","1998-07-15","1998-12-15","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","1","0",".","admin"
"Kentucky","2010-07-15","2011-03-15","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","1","0","1","0","0","0","0","0","1","0",".","admin","Kentucky","2010-07-15","2011-03-15","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","1","0","1","0","0","0","0","0","1","0",".","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kentucky","2004-07-13","2005-06-19","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","1","0","1","0","0","0","0","1","1","0",".","admin","Kentucky","2004-07-13","2005-06-19","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","1","0","1","0","0","0","0","1","1","0",".","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kentucky","2013-03-04","2013-03-18","1","0","1","0","0","0","0","0","0","1","0","0","0","0","2","1","0","1","0","0","0","0","0","1","1","0","admin","Kentucky","2013-03-04","2013-03-18","1","0","1","0","0","0","0","0","0","1","0","0","0","0","2","1","0","1","0","0","0","0","0","1","1","0","admin","Kentucky","2013-03-04","2013-03-18","1","1","1","1","1","0","0","1","1","0","0","1","1","0","0","1","0","1","0","1","0","0","1","0","1","0","0","access"
"Kentucky","2013-03-04","2013-03-18","1","0","1","0","0","0","0","0","0","1","0","0","0","0","2","1","0","1","0","0","0","0","0","1","1","0","admin","Kentucky","2013-03-04","2013-03-18","1","1","1","1","1","0","0","1","1","0","0","1","1","0","0","1","0","1","0","1","0","0","1","0","1","0","0","access","Kentucky","2013-03-04","2013-03-18","1","0","1","0","0","0","0","0","0","1","0","0","0","0","2","1","0","1","0","0","0","0","0","1","1","0","admin"
"Kentucky","2012-04-11","2012-07-19","1","0","1","0","0","0","0","0","0","1","0","0","0","0","4","1","0","1","0","0","0","0","0","1","1","0","admin","Kentucky","2012-04-11","2012-07-19","1","0","1","0","0","0","0","0","0","1","0","0","0","0","4","1","0","1","0","0","0","0","0","1","1","0","admin","Kentucky","2012-04-11","2012-07-19","1","1","1","1","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","1","0","0","1","0","1","0","0","access"
"Kentucky","2012-04-11","2012-07-19","1","0","1","0","0","0","0","0","0","1","0","0","0","0","4","1","0","1","0","0","0","0","0","1","1","0","admin","Kentucky","2012-04-11","2012-07-19","1","1","1","1","0","0","0","1","1","0","0","1","1","0","0","0","0","1","0","1","0","0","1","0","1","0","0","access","Kentucky","2012-04-11","2012-07-19","1","0","1","0","0","0","0","0","0","1","0","0","0","0","4","1","0","1","0","0","0","0","0","1","1","0","admin"
"Louisiana","2006-07-01","2007-07-19","1","0","0","0","1","0","0","1","1","1","0","0","1","1","4","1","0","1","0","0","0","0","0","1","1","0","admin","Louisiana","2006-07-01","2007-07-19","1","0","0","0","1","0","0","1","1","1","0","0","1","1","4","1","0","1","0","0","0","0","0","1","1","0","admin","Louisiana","2006-07-01","2007-07-19","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","0","0","1","1","access"
"Louisiana","2006-07-01","2007-07-19","1","0","0","0","1","0","0","1","1","1","0","0","1","1","4","1","0","1","0","0","0","0","0","1","1","0","admin","Louisiana","2006-07-01","2007-07-19","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","0","0","1","1","access","Louisiana","2006-07-01","2007-07-19","1","0","0","0","1","0","0","1","1","1","0","0","1","1","4","1","0","1","0","0","0","0","0","1","1","0","admin"
"Louisiana","2010-06-22","2010-08-14","1","0","0","0","1","0","0","1","1","1","0","0","1","1","4","1","0","1","0","1","0","0","0","1","1","0","admin","Louisiana","2010-06-22","2010-08-14","1","0","0","0","1","0","0","1","1","1","0","0","1","1","4","1","0","1","0","1","0","0","0","1","1","0","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maine","2012-02-23","2012-07-31","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","1","admin","Maine","2012-02-23","2012-07-31","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","1","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maine","2003-09-13","2004-06-21","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","admin","Maine","2003-09-13","2004-06-21","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","admin","Maine","2003-09-13","2004-06-21","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0",".",".",".",".","0",".",".",".",".","access"
"Maine","2003-09-13","2004-06-21","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","admin","Maine","2003-09-13","2004-06-21","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0",".",".",".",".","0",".",".",".",".","access","Maine","2003-09-13","2004-06-21","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","admin"
"Maryland","2011-10-01","2012-04-09","1","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0",".",".",".",".",".",".",".","1","1","1","admin","Maryland","2011-10-01","2012-04-09","1","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0",".",".",".",".",".",".",".","1","1","1","admin","Maryland","2011-10-01","2012-04-09","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","1","0","1","0","0","1","0","access"
"Maryland","2011-10-01","2012-04-09","1","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0",".",".",".",".",".",".",".","1","1","1","admin","Maryland","2011-10-01","2012-04-09","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","1","0","1","0","0","1","0","access","Maryland","2011-10-01","2012-04-09","1","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0",".",".",".",".",".",".",".","1","1","1","admin"
"Maryland","2012-04-10","2013-01-06","1","0","1","0","0","0","0","1","0","1","0","0","1","1","1","0",".",".",".",".",".",".",".","1","1","1","admin","Maryland","2012-04-10","2013-01-06","1","0","1","0","0","0","0","1","0","1","0","0","1","1","1","0",".",".",".",".",".",".",".","1","1","1","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland","2015-06-08","2015-09-30","1","0","1","0","0","0","0","1","0","1","0","0","1","1","1","1","0","0","0","0","0","1","0","1","1","1","admin","Maryland","2015-06-08","2015-09-30","1","0","1","0","0","0","0","1","0","1","0","0","1","1","1","1","0","0","0","0","0","1","0","1","1","1","admin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts","1998-01-01","1998-02-19","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","0",".",".",".",".",".",".",".","0","0",".","admin","Massachusetts","1998-01-01","1998-02-19","1","0","0","0","0","0","1",".",".",".",".",".",".",".",".","0","0","0",".",".",".",".","0",".",".",".",".","access","Massachusetts","1998-01-01","1998-02-19","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","0",".",".",".",".",".",".",".","0","0",".","admin"
"Massachusetts","1998-01-01","1998-02-19","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","0",".",".",".",".",".",".",".","0","0",".","admin","Massachusetts","1998-01-01","1998-02-19","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","0",".",".",".",".",".",".",".","0","0",".","admin","Massachusetts","1998-01-01","1998-02-19","1","0","0","0","0","0","1",".",".",".",".",".",".",".",".","0","0","0",".",".",".",".","0",".",".",".",".","access"
